Script	Run	Model	Distance	Surprisal	MI	Memory	UnigramCE	Type
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2456100	RANDOM	11	1.2841623707234855	0	3.2166763210121196	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	29813	RANDOM	0	3.53990565512539	1.6139982753083069	0	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	29813	RANDOM	1	1.9259073798170832	0.3086904524415015	1.6139982753083069	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	29813	RANDOM	2	1.6172169273755816	0.20666473867260593	2.23137918019131	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	29813	RANDOM	3	1.4105521887029757	0.0853445404052775	2.8513733962091274	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	29813	RANDOM	4	1.3252076482976982	0.004699168318039293	3.1927515578302375	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	29813	RANDOM	5	1.320508479979659	0.0	3.2162473994204337	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	29813	RANDOM	6	1.320508479979659	0	3.2162473994204337	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	29813	RANDOM	7	1.320508479979659	0	3.2162473994204337	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	29813	RANDOM	8	1.320508479979659	0	3.2162473994204337	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	29813	RANDOM	9	1.320508479979659	0	3.2162473994204337	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	29813	RANDOM	10	1.320508479979659	0	3.2162473994204337	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	29813	RANDOM	11	1.320508479979659	0	3.2162473994204337	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	3080885	RANDOM	0	3.53990565512539	1.612601070538709	0	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	3080885	RANDOM	1	1.927304584586681	0.308613042629881	1.612601070538709	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	3080885	RANDOM	2	1.6186915419568	0.2228629297667608	2.2298271557984712	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	3080885	RANDOM	3	1.3958286121900392	0.09032448114382485	2.898415945098754	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	3080885	RANDOM	4	1.3055041310462143	0.0	3.2597138696740533	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	3080885	RANDOM	5	1.3055041310462143	0.0	3.2597138696740533	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	3080885	RANDOM	6	1.3055041310462143	0	3.2597138696740533	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	3080885	RANDOM	7	1.3055041310462143	0	3.2597138696740533	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	3080885	RANDOM	8	1.3055041310462143	0	3.2597138696740533	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	3080885	RANDOM	9	1.3055041310462143	0	3.2597138696740533	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	3080885	RANDOM	10	1.3055041310462143	0	3.2597138696740533	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	3080885	RANDOM	11	1.3055041310462143	0	3.2597138696740533	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	3497950	RANDOM	0	3.53990565512539	1.6245830910540304	0	3.53990565512539	RANDOM
