Script	Run	Model	AUC
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	5634278	RANDOM	47.445255128262886
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	5710259	RANDOM	47.202184939836876
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	5784816	RANDOM	47.462789879406984
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	5814328	RANDOM	47.30779997492001
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	5954085	4517527	46.76923591902428
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	6036365	RANDOM	47.048186590116885
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	6601992	RANDOM	47.40761353917126
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	6771094	REAL	46.686708245050106
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	6782394	RANDOM	47.422329074506585
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	7046310	6226414	46.6515076433348
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	7127030	RANDOM	47.42423941394861
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	7200782	RANDOM	47.510031102877605
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	8189664	RANDOM	47.41303670392537
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	8782391	RANDOM	47.4258041034135
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	8823145	2291649	46.83091087566403
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	9184467	RANDOM	46.881739409537566
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	9656211	RANDOM	47.31417823029168
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	9951978	RANDOM	47.150329452620745
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData.py	109863	564859	20.804280260309262
