Language	Type	Position	Memory	MedianEmpirical	MedianLower	MedianUpper	Level
Czech-PDT	RANDOM_INFOSTRUC	22	1.06487262249	0.853759169579	0.80653232336	0.87577611208	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	23	1.11117148399	0.867351531982	0.817712843418	0.891209065914	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	24	1.15747022629	0.878926217556	0.826972603798	0.906641960144	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	25	1.20376908779	0.889315605164	0.835038542747	0.920459866524	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	26	1.2500679493	0.898414194584	0.842044353485	0.931716144085	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	27	1.29636669159	0.906130671501	0.848167419434	0.940883874893	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	28	1.34266555309	0.912667810917	0.853255569935	0.948536276817	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	29	1.38896429539	0.918248593807	0.857331037521	0.955088078976	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	30	1.43526315689	0.923074901104	0.860333323479	0.960655331612	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	31	1.48156189919	0.927141666412	0.860532224178	0.965321958065	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	32	1.52786076069	0.93022698164	0.860532224178	0.969052016735	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	33	1.57415962219	0.930482804775	0.860532224178	0.971533715725	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	34	1.62045836449	0.930482804775	0.860532224178	0.971533715725	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	35	1.66675722599	0.930482804775	0.860532224178	0.971533715725	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	36	1.71305596828	0.930482804775	0.860532224178	0.971533715725	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	37	1.75935482979	0.930482804775	0.860532224178	0.971533715725	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	38	1.80565357208	0.930482804775	0.860532224178	0.971533715725	0.9785156249999996
Czech-PDT	REAL_REAL	0	0.0462988093495	0.0462988093495	0.0462988093495	0.0462988093495	0.96875
Czech-PDT	REAL_REAL	1	0.0925976186991	0.0925976186991	0.0925976186991	0.0925976186991	0.96875
Czech-PDT	REAL_REAL	2	0.138896435499	0.138896435499	0.138896435499	0.138896435499	0.96875
Czech-PDT	REAL_REAL	3	0.185195237398	0.185195237398	0.185195237398	0.185195237398	0.96875
Czech-PDT	REAL_REAL	4	0.231494054198	0.231494054198	0.231494054198	0.231494069099	0.96875
Czech-PDT	REAL_REAL	5	0.277792870998	0.277792870998	0.277792870998	0.277792870998	0.96875
