Language	Type	FileName	Position	Memory	Surprisal
Slovak	GROUND	2516623	38	0.205118730664	0.0837255194783
Slovenian	REAL_REAL	7757249	0	0.0174672044814	0.0174672044814
Slovenian	REAL_REAL	7757249	1	0.0349344089627	0.0349344089627
Slovenian	REAL_REAL	7757249	2	0.0524016171694	0.0524016208947
Slovenian	REAL_REAL	7757249	3	0.0698688179255	0.0698688179255
Slovenian	REAL_REAL	7757249	4	0.0873360261321	0.0873360186815
Slovenian	REAL_REAL	7757249	5	0.104803234339	0.104803241789
Slovenian	REAL_REAL	7757249	6	0.122270435095	0.122270435095
Slovenian	REAL_REAL	7757249	7	0.139737635851	0.139737635851
Slovenian	REAL_REAL	7757249	8	0.157204851508	0.157204851508
Slovenian	REAL_REAL	7757249	9	0.174672052264	0.174672037363
Slovenian	REAL_REAL	7757249	10	0.19213925302	0.19213925302
Slovenian	REAL_REAL	7757249	11	0.209606468678	0.209606483579
Slovenian	REAL_REAL	7757249	12	0.227073669434	0.227073669434
Slovenian	REAL_REAL	7757249	13	0.24454087019	0.24454087019
Slovenian	REAL_REAL	7757249	14	0.262008070946	0.262008070946
Slovenian	REAL_REAL	7757249	15	0.279475271702	0.279475271702
Slovenian	REAL_REAL	7757249	16	0.29694250226	0.29694250226
Slovenian	REAL_REAL	7757249	17	0.314409703016	0.314409703016
Slovenian	REAL_REAL	7757249	18	0.331876903772	0.331876903772
Slovenian	REAL_REAL	7757249	19	0.349344104528	0.349344074726
Slovenian	REAL_REAL	7757249	20	0.366811305285	0.366811305285
Slovenian	REAL_REAL	7757249	21	0.384278506041	0.384278506041
Slovenian	REAL_REAL	7757249	22	0.401745706797	0.401745736599
Slovenian	REAL_REAL	7757249	23	0.419212937355	0.419212967157
Slovenian	REAL_REAL	7757249	24	0.436680138111	0.436680138111
Slovenian	REAL_REAL	7757249	25	0.454147338867	0.454147338867
Slovenian	REAL_REAL	7757249	26	0.471614539623	0.471614539623
Slovenian	REAL_REAL	7757249	27	0.489081740379	0.489081740379
Slovenian	REAL_REAL	7757249	28	0.506548941135	0.506548941135
Slovenian	REAL_REAL	7757249	29	0.524016141891	0.524016141891
Slovenian	REAL_REAL	7757249	30	0.541483342648	0.541483342648
Slovenian	REAL_REAL	7757249	31	0.558950543404	0.558950543404
Slovenian	REAL_REAL	7757249	32	0.57641774416	0.57641774416
Slovenian	REAL_REAL	7757249	33	0.59388500452	0.59388500452
Slovenian	REAL_REAL	7757249	34	0.611352205276	0.611352205276
Slovenian	REAL_REAL	7757249	35	0.628819406033	0.628819406033
Slovenian	REAL_REAL	7757249	36	0.646286606789	0.646286606789
Slovenian	REAL_REAL	7757249	37	0.663753807545	0.663753807545
Slovenian	REAL_REAL	7757249	38	0.681221008301	0.681221008301
Slovenian	REAL_REAL	1581276	0	0.0174672044814	0.0174672044814
Slovenian	REAL_REAL	1581276	1	0.0349344089627	0.0349344089627
Slovenian	REAL_REAL	1581276	2	0.0524016171694	0.0524016208947
Slovenian	REAL_REAL	1581276	3	0.0698688179255	0.0698688179255
Slovenian	REAL_REAL	1581276	4	0.0873360261321	0.0873360261321
Slovenian	REAL_REAL	1581276	5	0.104803234339	0.104803241789
Slovenian	REAL_REAL	1581276	6	0.122270435095	0.122270435095
Slovenian	REAL_REAL	1581276	7	0.139737635851	0.139737635851
Slovenian	REAL_REAL	1581276	8	0.157204851508	0.157204851508
Slovenian	REAL_REAL	1581276	9	0.174672052264	0.174672052264
Slovenian	REAL_REAL	1581276	10	0.19213925302	0.192139267921
Slovenian	REAL_REAL	1581276	11	0.209606468678	0.209606483579
Slovenian	REAL_REAL	1581276	12	0.227073669434	0.227073669434
Slovenian	REAL_REAL	1581276	13	0.24454087019	0.24454087019
Slovenian	REAL_REAL	1581276	14	0.262008070946	0.262008070946
Slovenian	REAL_REAL	1581276	15	0.279475271702	0.279475271702
Slovenian	REAL_REAL	1581276	16	0.29694250226	0.29694250226
Slovenian	REAL_REAL	1581276	17	0.314409703016	0.314409703016
Slovenian	REAL_REAL	1581276	18	0.331876903772	0.331876903772
Slovenian	REAL_REAL	1581276	19	0.349344104528	0.349344104528
Slovenian	REAL_REAL	1581276	20	0.366811305285	0.366811305285
Slovenian	REAL_REAL	1581276	21	0.384278506041	0.384278535843
Slovenian	REAL_REAL	1581276	22	0.401745706797	0.401745706797
Slovenian	REAL_REAL	1581276	23	0.419212937355	0.419212967157
Slovenian	REAL_REAL	1581276	24	0.436680138111	0.436680138111
Slovenian	REAL_REAL	1581276	25	0.454147338867	0.454147338867
Slovenian	REAL_REAL	1581276	26	0.471614539623	0.471614569426
Slovenian	REAL_REAL	1581276	27	0.489081740379	0.489081740379
Slovenian	REAL_REAL	1581276	28	0.506548941135	0.506548941135
Slovenian	REAL_REAL	1581276	29	0.524016141891	0.524016141891
Slovenian	REAL_REAL	1581276	30	0.541483342648	0.541483342648
Slovenian	REAL_REAL	1581276	31	0.558950543404	0.558950543404
Slovenian	REAL_REAL	1581276	32	0.57641774416	0.57641774416
