Language	Estimator	Model	Distance	Surprisal	Script	Part	It	SumIt	SumTIt
Czech	Heldout	ADN	1	-9.499661394706074	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN	-0.0018530347458440843	-2.1783169090780206	-2.1783169090780206
Czech	Heldout	ADN	2	-9.49780835996023	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN	0.13517579175428907	-2.1801699438238646	-2.1820229785697087
Czech	Heldout	ADN	3	-9.632984151714519	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN	0.1630597700648302	-2.0449941520695756	-1.7764956033068415
Czech	Heldout	ADN	4	-9.796043921779349	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN	0.17333033139628817	-1.8819343820047454	-1.1242565230475208
Czech	Heldout	ADN	5	-9.969374253175637	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN	0.17790242606254125	-1.7086040506084572	-0.2576048660660799
Czech	Heldout	ADN	0	-12.029963095413597	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod	-1.0849877918978557	0	0
Czech	Heldout	ADN	1	-10.944975303515742	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod	0.38638459090408617	-1.0849877918978557	-1.0849877918978557
Czech	Heldout	ADN	2	-11.331359894419828	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod	0.45039679763382523	-0.6986032009937695	-0.3122186100896833
Czech	Heldout	ADN	3	-11.781756692053653	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod	0.46187011996640415	-0.24820640335994426	1.0389717828117924
Czech	Heldout	ADN	4	-12.243626812020057	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod	0.4652487809036874	0.21366371660645989	2.886452262677409
Czech	Heldout	ADN	5	-12.708875592923745	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod	0.4665686638678057	0.6789124975101473	5.212696167195846
Czech	Heldout	ADN	0	-6.156792925218384	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case	-2.6392758485231353	0	0
Czech	Heldout	ADN	1	-3.5175170766952486	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case	-0.08359383951968402	-2.6392758485231353	-2.6392758485231353
Czech	Heldout	ADN	2	-3.4339232371755646	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case	-0.006879468348901963	-2.7228696880428194	-2.8064635275625034
