Language	Type	Memory	EmpiricalMedianDiff	MedianDiff_Lower	MedianDiff_Upper	Level
Catalan	GROUND	2.44354581833	0.318850874901	0.239095687866	0.377709031105	0.9820079803466811
Catalan	GROUND	2.50958752632	0.318850874901	0.239095687866	0.37882399559	0.9820079803466811
Catalan	GROUND	2.57562947273	0.318850874901	0.239095687866	0.37882399559	0.9820079803466811
Czech	REAL_REAL	0.059089936316	0.0	0.0	0.0	0.9946027100086212
Czech	REAL_REAL	0.118179872632	0.0	0.0	0.0	0.9946027100086212
Czech	REAL_REAL	0.177269801497	0.0	0.0	0.0	0.9990196265280247
Czech	REAL_REAL	0.236359745264	0.0	0.0	0.0	0.9946027100086212
Czech	REAL_REAL	0.295449674129	0.0	0.0	0.0	0.9990196265280247
Czech	REAL_REAL	0.354539602995	0.0	0.0	0.0	0.9990196265280247
Czech	REAL_REAL	0.41362953186	0.0	0.0	0.0	0.9990196265280247
Czech	REAL_REAL	0.472719490528	0.0	0.0	0.0	0.9946027100086212
Czech	REAL_REAL	0.531809389591	0.0	0.0	0.0	0.9990196265280247
Czech	REAL_REAL	0.590899348259	0.0	0.0	0.0	0.9990196265280247
Czech	REAL_REAL	0.649989306927	0.0	0.0	0.0	0.9990196265280247
Czech	REAL_REAL	0.70907920599	0.0	0.0	0.0	0.9990196265280247
Czech	REAL_REAL	0.768169164658	0.0	0.0	0.0	0.9990196265280247
Czech	REAL_REAL	0.827259063721	0.0	0.0	0.0	0.9989472180604935
Czech	REAL_REAL	0.886349022388	0.00512236356735	0.0	0.01547986269	0.9798313826322556
Czech	REAL_REAL	0.945438981056	0.0346673130989	0.0127204060555	0.0450248122215	0.9798313826322556
Czech	REAL_REAL	1.00452888012	0.0497500300407	0.0176987051964	0.0645024180412	0.9692955613136292
Czech	REAL_REAL	1.06361877918	0.0497500896454	0.0176987051964	0.0645024180412	0.9692955613136292
Czech	REAL_REAL	1.12270879745	0.0497500300407	0.017698764801	0.0645024776459	0.9692955613136292
Czech	REAL_REAL	1.18179869652	0.0497499704361	0.017698764801	0.0645024776459	0.9692955613136292
Czech	REAL_REAL	1.24088859558	0.0497499704361	0.017698764801	0.0645024776459	0.9692955613136292
