Language	Type	ModelID	AUC
Czech	RANDOM_BY_TYPE	6485115	12.8092985153
Czech	RANDOM_BY_TYPE	6525143	12.8811321259
Czech	RANDOM_BY_TYPE	6984977	12.8234081268
Czech	RANDOM_BY_TYPE	7282408	12.9371337891
Czech	RANDOM_BY_TYPE	7707184	12.7869739532
Czech	RANDOM_BY_TYPE	7930368	12.7988061905
Czech	RANDOM_BY_TYPE	8233122	12.8452920914
Czech	RANDOM_BY_TYPE	8995601	12.7812280655
Czech	GROUND	1255461	12.6381893158
Czech	GROUND	1673325	12.6497573853
Czech	GROUND	229364	12.6459665298
Czech	GROUND	3961445	12.6502466202
Czech	GROUND	4712935	12.6477603912
Czech	GROUND	5190528	12.6416883469
Czech	GROUND	52767	12.6546449661
Czech	GROUND	5358447	12.6452331543
Czech	GROUND	7083841	12.6502485275
Czech	GROUND	7933519	12.6399478912
Czech	GROUND	8006162	12.6549987793
Czech	GROUND	9330432	12.6467027664
Dutch	REAL_REAL	2886908	9.50833320618
Dutch	REAL_REAL	4237203	9.49803066254
Dutch	REAL_REAL	4716654	9.50645923615
Dutch	REAL_REAL	4994125	9.50235939026
Dutch	REAL_REAL	6369701	9.49581432343
Dutch	REAL_REAL	7313263	9.50631332397
Dutch	REAL_REAL	8582740	9.48992156982
Dutch	REAL_REAL	8976470	9.49850654602
Dutch	REAL_REAL	9335269	9.50750637054
Dutch	REAL_REAL	9626739	9.51415538788
Dutch	RANDOM_BY_TYPE	1175848	9.57400131226
Dutch	RANDOM_BY_TYPE	1293762	9.63783454895
Dutch	RANDOM_BY_TYPE	1311897	9.60011768341
Dutch	RANDOM_BY_TYPE	1406919	9.63117980957
Dutch	RANDOM_BY_TYPE	1461442	9.51169776917
Dutch	RANDOM_BY_TYPE	1944168	9.61679172516
Dutch	RANDOM_BY_TYPE	3411570	9.56287193298
Dutch	RANDOM_BY_TYPE	3536723	9.62262630463
Dutch	RANDOM_BY_TYPE	3544458	9.57297229767
Dutch	RANDOM_BY_TYPE	4068488	9.58621406555
Dutch	RANDOM_BY_TYPE	4417100	9.57040596008
Dutch	RANDOM_BY_TYPE	5000137	9.55760192871
Dutch	RANDOM_BY_TYPE	5239152	9.59772396088
Dutch	RANDOM_BY_TYPE	5343677	9.5406999588
Dutch	RANDOM_BY_TYPE	5880257	9.56733798981
Dutch	RANDOM_BY_TYPE	6629319	9.60115337372
Dutch	RANDOM_BY_TYPE	7174652	9.55051898956
Dutch	RANDOM_BY_TYPE	7390867	9.64820384979
Dutch	RANDOM_BY_TYPE	7560649	9.66247272491
Dutch	RANDOM_BY_TYPE	7833629	9.62624073029
Dutch	RANDOM_BY_TYPE	8665667	9.60533428192
Dutch	RANDOM_BY_TYPE	8685322	9.52086162567
Dutch	RANDOM_BY_TYPE	89094	9.64618682861
Dutch	RANDOM_BY_TYPE	9004867	9.5332403183
Dutch	RANDOM_BY_TYPE	9544901	9.57575416565
Dutch	RANDOM_BY_TYPE	9658659	9.55012321472
Dutch	RANDOM_BY_TYPE	9776289	9.60481357574
Dutch	GROUND	1032346	9.46704292297
Dutch	GROUND	1063320	9.47323799133
Dutch	GROUND	1827245	9.47624015808
Dutch	GROUND	2086650	9.47464752197
Dutch	GROUND	2468815	9.48585987091
Dutch	GROUND	5426014	9.46780395508
Dutch	GROUND	6590340	9.48223018646
Dutch	GROUND	7335354	9.47409343719
Dutch	GROUND	7606279	9.47328186035
Dutch	GROUND	9828243	9.47155284882
Finnish	REAL_REAL	1575215	6.48953437805
Finnish	REAL_REAL	1701581	6.4894528389
Finnish	REAL_REAL	2217695	6.49275493622
Finnish	REAL_REAL	2217733	6.49154186249
Finnish	REAL_REAL	2273183	6.49202251434
Finnish	REAL_REAL	4537766	6.49138784409
Finnish	REAL_REAL	4677666	6.49115514755
Finnish	REAL_REAL	4738078	6.49370908737
Finnish	REAL_REAL	4755419	6.48964262009
Finnish	REAL_REAL	5186537	6.49780368805
Finnish	REAL_REAL	5460761	6.49950170517
Finnish	REAL_REAL	5808278	6.48773622513
Finnish	REAL_REAL	8828109	6.49361419678
Finnish	REAL_REAL	9098222	6.48897027969
Finnish	REAL_REAL	9830930	6.48642396927
Finnish	REAL_REAL	9981591	6.49708938599
Finnish	RANDOM_BY_TYPE	1097637	6.54823732376
Finnish	RANDOM_BY_TYPE	118823	6.51913118362
Finnish	RANDOM_BY_TYPE	1193382	6.50853872299
Finnish	RANDOM_BY_TYPE	1381318	6.5029168129
Finnish	RANDOM_BY_TYPE	1382219	6.50899934769
Finnish	RANDOM_BY_TYPE	1450949	6.52248239517
Finnish	RANDOM_BY_TYPE	1514470	6.50502872467
Finnish	RANDOM_BY_TYPE	1563495	6.53765201569
Finnish	RANDOM_BY_TYPE	1580757	6.53802347183
Finnish	RANDOM_BY_TYPE	1747645	6.54847717285
Finnish	RANDOM_BY_TYPE	1775442	6.59092521667
Finnish	RANDOM_BY_TYPE	1809727	6.56313610077
Finnish	RANDOM_BY_TYPE	1993978	6.54647445679
Finnish	RANDOM_BY_TYPE	2197081	6.56918430328
Finnish	RANDOM_BY_TYPE	2379781	6.54125785828
Finnish	RANDOM_BY_TYPE	2451306	6.51947307587
Finnish	RANDOM_BY_TYPE	2539393	6.54133033752
Finnish	RANDOM_BY_TYPE	2573160	6.5641245842
Finnish	RANDOM_BY_TYPE	2599067	6.56344223022
Finnish	RANDOM_BY_TYPE	2655519	6.55154418945
Finnish	RANDOM_BY_TYPE	2924415	6.54017019272
Finnish	RANDOM_BY_TYPE	3030928	6.54202699661
Finnish	RANDOM_BY_TYPE	3092064	6.54118919373
Finnish	RANDOM_BY_TYPE	3109039	6.51220321655
Finnish	RANDOM_BY_TYPE	321679	6.53182125092
Finnish	RANDOM_BY_TYPE	3228041	6.54383230209
Finnish	RANDOM_BY_TYPE	3739544	6.54434156418
Finnish	RANDOM_BY_TYPE	3744053	6.53842830658
Finnish	RANDOM_BY_TYPE	3889157	6.52331495285
Finnish	RANDOM_BY_TYPE	3907012	6.51677465439
Finnish	RANDOM_BY_TYPE	418982	6.54647159576
Finnish	RANDOM_BY_TYPE	423294	6.54453611374
Finnish	RANDOM_BY_TYPE	431057	6.534283638
Finnish	RANDOM_BY_TYPE	4339908	6.52423715591
Finnish	RANDOM_BY_TYPE	4371613	6.53874015808
Finnish	RANDOM_BY_TYPE	4833206	6.5392575264
Finnish	RANDOM_BY_TYPE	489346	6.51652240753
Finnish	RANDOM_BY_TYPE	4999707	6.54278945923
Finnish	RANDOM_BY_TYPE	5138737	6.54782438278
Finnish	RANDOM_BY_TYPE	519943	6.53633546829
Finnish	RANDOM_BY_TYPE	5259454	6.5340461731
Finnish	RANDOM_BY_TYPE	5306655	6.54292345047
Finnish	RANDOM_BY_TYPE	5432229	6.54769849777
Finnish	RANDOM_BY_TYPE	5489550	6.54684734344
Finnish	RANDOM_BY_TYPE	5521352	6.55867671967
Finnish	RANDOM_BY_TYPE	5565025	6.54547929764
Finnish	RANDOM_BY_TYPE	5640527	6.52575349808
Finnish	RANDOM_BY_TYPE	573883648	6.53185367584
Finnish	RANDOM_BY_TYPE	5756384	6.54745864868
Finnish	RANDOM_BY_TYPE	6115799	6.56810760498
Finnish	RANDOM_BY_TYPE	6265724	6.52531147003
Finnish	RANDOM_BY_TYPE	6513108	6.52789115906
Finnish	RANDOM_BY_TYPE	65340	6.54065465927
Finnish	RANDOM_BY_TYPE	6620842	6.54301643372
Finnish	RANDOM_BY_TYPE	6954240	6.56310606003
Finnish	RANDOM_BY_TYPE	7080761	6.52135801315
Finnish	RANDOM_BY_TYPE	7172867	6.52247953415
Finnish	RANDOM_BY_TYPE	7225117	6.52877759933
Finnish	RANDOM_BY_TYPE	7402954	6.55083799362
Finnish	RANDOM_BY_TYPE	7449799	6.53114032745
Finnish	RANDOM_BY_TYPE	7670986	6.53678607941
Finnish	RANDOM_BY_TYPE	7690014	6.55655384064
Finnish	RANDOM_BY_TYPE	7692998	6.55817937851
Finnish	RANDOM_BY_TYPE	7931464	6.54620742798
Finnish	RANDOM_BY_TYPE	7938708	6.51141214371
Finnish	RANDOM_BY_TYPE	8203449	6.53839540482
Finnish	RANDOM_BY_TYPE	8214388	6.52663373947
Finnish	RANDOM_BY_TYPE	8393965	6.52937984467
Finnish	RANDOM_BY_TYPE	8581116	6.54397630692
Finnish	RANDOM_BY_TYPE	8641998	6.52134084702
Finnish	RANDOM_BY_TYPE	8651473	6.55094385147
Finnish	RANDOM_BY_TYPE	8668077	6.53876638412
Finnish	RANDOM_BY_TYPE	873231	6.52331447601
Finnish	RANDOM_BY_TYPE	8985288	6.53942728043
Finnish	RANDOM_BY_TYPE	8998594	6.54744195938
Finnish	RANDOM_BY_TYPE	9038263	6.55496501923
Finnish	RANDOM_BY_TYPE	9327380	6.54357194901
Finnish	RANDOM_BY_TYPE	9340548	6.54216480255
Finnish	RANDOM_BY_TYPE	9433098	6.53252792358
Finnish	RANDOM_BY_TYPE	9434842	6.56167650223
Finnish	RANDOM_BY_TYPE	9466234	6.5140247345
Finnish	RANDOM_BY_TYPE	9472914	6.52465343475
Finnish	RANDOM_BY_TYPE	9544063	6.54012584686
Finnish	GROUND	1237518	6.50905752182
Finnish	GROUND	1239843	6.50975370407
Finnish	GROUND	129708	6.51536750793
Finnish	GROUND	2076214	6.50955820084
Finnish	GROUND	2113020	6.52110767365
Finnish	GROUND	2120543	6.50828313828
Finnish	GROUND	2229495	6.50720024109
Finnish	GROUND	2348839	6.51485538483
Finnish	GROUND	2509289	6.51313066483
Finnish	GROUND	2713538	6.50881099701
Finnish	GROUND	2863348	6.50688409805
Finnish	GROUND	2975282	6.51505756378
Finnish	GROUND	3201062	6.50695753098
Finnish	GROUND	3215087	6.51640605927
Finnish	GROUND	3258707	6.50970363617
Finnish	GROUND	3472658	6.51555538177
Finnish	GROUND	3604068	6.50987005234
Finnish	GROUND	362410	6.51019525528
Finnish	GROUND	3684390	6.50747537613
Finnish	GROUND	3841080	6.5046877861
Finnish	GROUND	3911819	6.50775957108
Finnish	GROUND	3997021	6.50434350967
Finnish	GROUND	4019898	6.51600265503
Finnish	GROUND	427383	6.51181459427
Finnish	GROUND	4472231	6.50842618942
Finnish	GROUND	4568662	6.50870800018
Finnish	GROUND	4790189	6.52364969254
Finnish	GROUND	4843699	6.546479702
Finnish	GROUND	4852804	6.51494216919
Finnish	GROUND	5154977	6.50781393051
Finnish	GROUND	5156749	6.50912809372
Finnish	GROUND	5178115	6.51898193359
Finnish	GROUND	5669788	6.50898933411
Finnish	GROUND	572252	6.51383066177
Finnish	GROUND	6137925	6.50727701187
Finnish	GROUND	6294278	6.50959587097
Finnish	GROUND	6375884	6.51148796082
Finnish	GROUND	7231947	6.51010227203
Finnish	GROUND	7533804	6.50756311417
Finnish	GROUND	7915256	6.50944805145
Finnish	GROUND	7987721	6.5045337677
Finnish	GROUND	7997074	6.50633764267
Finnish	GROUND	8059091	6.50646734238
Finnish	GROUND	8145763	6.5106253624
Finnish	GROUND	8155201	6.51478004456
Finnish	GROUND	8269174	6.51173686981
Finnish	GROUND	8377225	6.51078701019
Finnish	GROUND	8445630	6.50836706161
Finnish	GROUND	8548344	6.50642585754
Finnish	GROUND	9402819	6.50700092316
Finnish	GROUND	9735912	6.50889062881
Finnish	GROUND	9767586	6.51708507538
Finnish	GROUND	9946443	6.51597309113
Finnish	GROUND	9984299	6.50685834885
French	REAL_REAL	1533567	15.1425857544
French	REAL_REAL	1709379	15.1393737793
French	REAL_REAL	1975961	15.1532821655
French	REAL_REAL	209463	15.1724872589
French	REAL_REAL	2341207	15.1513948441
French	REAL_REAL	2574938	15.1442117691
French	REAL_REAL	528196	15.1434011459
French	REAL_REAL	6312170	15.1421499252
French	REAL_REAL	778059	15.1399459839
French	REAL_REAL	8293400	15.1460227966
French	REAL_REAL	942873	15.1517553329
French	RANDOM_BY_TYPE	2575176	15.6443843842
French	RANDOM_BY_TYPE	2799131	15.6578235626
French	RANDOM_BY_TYPE	3822372	15.8414611816
French	RANDOM_BY_TYPE	3823043	15.5423154831
French	RANDOM_BY_TYPE	4607184	15.923579216
French	RANDOM_BY_TYPE	4774466	15.6387310028
French	RANDOM_BY_TYPE	5100845	15.8036279678
French	RANDOM_BY_TYPE	5729681	15.7258996964
French	RANDOM_BY_TYPE	5987284	15.7531757355
French	RANDOM_BY_TYPE	6390498	15.5371665955
French	RANDOM_BY_TYPE	6592954	15.4381666183
French	RANDOM_BY_TYPE	6840569	15.5300254822
French	RANDOM_BY_TYPE	7938276	15.7730331421
French	RANDOM_BY_TYPE	9303131	15.8394594193
French	GROUND	1075812	15.21575737
French	GROUND	1459717	15.1954879761
French	GROUND	2503743	15.2232322693
French	GROUND	3740328	15.2042608261
French	GROUND	686504	15.2146434784
French	GROUND	6900320	15.2032709122
French	GROUND	711534	15.1996335983
French	GROUND	7706628	15.2093334198
French	GROUND	8579012	15.2102069855
French	GROUND	8709769	15.2015914917
French	GROUND	9238747	15.2074184418
French	GROUND	9793015	15.1999740601
German	REAL_REAL	1294982	11.1026468277
German	REAL_REAL	1443066	11.075671196
German	REAL_REAL	2184492	11.0537748337
German	REAL_REAL	3374426	11.0710878372
German	REAL_REAL	5372186	11.0654258728
German	REAL_REAL	5557106	11.0727148056
German	REAL_REAL	6051562	11.0526580811
German	REAL_REAL	62491	11.0790166855
German	REAL_REAL	8464147	11.0610256195
German	REAL_REAL	8504503	11.0650205612
German	REAL_REAL	8838940	11.0517044067
German	REAL_REAL	9103977	11.0655670166
German	REAL_REAL	9617940	11.0655183792
German	RANDOM_BY_TYPE	1505888	11.1030015945
German	RANDOM_BY_TYPE	1516762	11.1356878281
German	RANDOM_BY_TYPE	162869	11.0970468521
German	RANDOM_BY_TYPE	3138033	11.1453084946
German	RANDOM_BY_TYPE	3602687	11.0866861343
German	RANDOM_BY_TYPE	419196	11.1170864105
German	RANDOM_BY_TYPE	6512325	11.1442232132
German	RANDOM_BY_TYPE	6578730	11.0969610214
German	RANDOM_BY_TYPE	6769555	11.0681848526
German	RANDOM_BY_TYPE	6942434	11.090130806
German	RANDOM_BY_TYPE	6964672	11.0799026489
German	RANDOM_BY_TYPE	7148017	11.1438407898
German	RANDOM_BY_TYPE	7668640	11.1077766418
German	RANDOM_BY_TYPE	8376023	11.1440610886
German	RANDOM_BY_TYPE	8532749	11.1557102203
German	RANDOM_BY_TYPE	8909977	11.1112699509
German	RANDOM_BY_TYPE	9405818	11.1824798584
German	RANDOM_BY_TYPE	9770163	11.0675535202
German	RANDOM_BY_TYPE	982724	11.1163711548
German	GROUND	1254661	11.0664377213
German	GROUND	1314709	11.0585851669
German	GROUND	1849969	11.0504245758
German	GROUND	3490474	11.0578212738
German	GROUND	5003721	11.064031601
German	GROUND	7003096	11.041431427
German	GROUND	703133	11.0542345047
German	GROUND	7739657	11.0640516281
German	GROUND	848228	11.0272321701
German	GROUND	8774569	11.0481805801
Hindi	REAL_REAL	1022069	14.7768974304
Hindi	REAL_REAL	3265512	14.7657022476
Hindi	REAL_REAL	422887	14.774222374
Hindi	REAL_REAL	5912294	14.7627782822
Hindi	REAL_REAL	7343613	14.7702636719
Hindi	REAL_REAL	7809194	14.7630281448
Hindi	REAL_REAL	9358764	14.7741155624
Hindi	REAL_REAL	9685053	14.7718887329
Hindi	REAL_REAL	9895407	14.7783241272
Hindi	REAL_REAL	9962992	14.775177002
Hindi	RANDOM_BY_TYPE	1751789	15.478852272
Hindi	RANDOM_BY_TYPE	1817136	15.1987199783
Hindi	RANDOM_BY_TYPE	2630348	15.2401714325
Hindi	RANDOM_BY_TYPE	412451744	15.1577625275
Hindi	RANDOM_BY_TYPE	4135957	15.3767385483
Hindi	RANDOM_BY_TYPE	489389472	15.2460575104
Hindi	RANDOM_BY_TYPE	6138781	15.349199295
Hindi	RANDOM_BY_TYPE	7407391	15.2106170654
Hindi	RANDOM_BY_TYPE	7469794	15.2184391022
Hindi	RANDOM_BY_TYPE	7479472	15.252363205
Hindi	RANDOM_BY_TYPE	9769292	15.2970628738
Hindi	GROUND	1568294	14.8369092941
Hindi	GROUND	2005360	14.8470878601
Hindi	GROUND	4437187	14.8379955292
Hindi	GROUND	6340877	14.8315057755
Hindi	GROUND	6391799	14.8739566803
Hindi	GROUND	7080613	14.8417186737
Hindi	GROUND	8407633	14.8360824585
Hindi	GROUND	8892520	14.8458709717
Hindi	GROUND	8928720	14.8392934799
Hindi	GROUND	9823430	14.8510637283
Norwegian	REAL_REAL	1583060	10.9736299515
Norwegian	REAL_REAL	2189586	10.978518486
Norwegian	REAL_REAL	2288378	10.9770259857
Norwegian	REAL_REAL	2841062	10.9786663055
Norwegian	REAL_REAL	5074081	10.9795017242
Norwegian	REAL_REAL	6972127	10.9823389053
Norwegian	REAL_REAL	792066	10.9755153656
Norwegian	REAL_REAL	8082375	10.973690033
Norwegian	REAL_REAL	9224690	10.9787330627
Norwegian	REAL_REAL	9853314	10.9757537842
Norwegian	RANDOM_BY_TYPE	1168452	11.1630125046
Norwegian	RANDOM_BY_TYPE	2029635	11.2295532227
Norwegian	RANDOM_BY_TYPE	2948273	11.1879358292
Norwegian	RANDOM_BY_TYPE	3904647	11.1946153641
Norwegian	RANDOM_BY_TYPE	4226796	11.1893644333
Norwegian	RANDOM_BY_TYPE	4940236	11.1513557434
Norwegian	RANDOM_BY_TYPE	5489914	11.1980314255
Norwegian	RANDOM_BY_TYPE	6547531	11.2003622055
Norwegian	RANDOM_BY_TYPE	665381	11.1582870483
Norwegian	RANDOM_BY_TYPE	6967679	11.1269350052
Norwegian	RANDOM_BY_TYPE	8243297	11.2054271698
Norwegian	RANDOM_BY_TYPE	9408475	11.2240180969
Norwegian	GROUND	1070991	10.9690389633
Norwegian	GROUND	145009	10.967751503
Norwegian	GROUND	1851394	10.9727687836
Norwegian	GROUND	2901380	10.9754056931
Norwegian	GROUND	2968788	10.9706497192
Norwegian	GROUND	3115754	10.9691801071
Norwegian	GROUND	5317086	10.9702587128
Norwegian	GROUND	8980805	10.9769382477
Norwegian	GROUND	9312399	10.976685524
Norwegian	GROUND	9342452	10.968457222
Spanish	REAL_REAL	1066378	13.6292152405
Spanish	REAL_REAL	1952766	13.600025177
Spanish	REAL_REAL	2304368	13.6324443817
Spanish	REAL_REAL	4802467	13.6413869858
Spanish	REAL_REAL	6286523	13.6158447266
Spanish	REAL_REAL	6595479	13.6264333725
Spanish	REAL_REAL	7166188	13.6266708374
Spanish	REAL_REAL	7799145	13.6169118881
Spanish	REAL_REAL	8456591	13.6137599945
Spanish	REAL_REAL	8620375	13.6110916138
Spanish	RANDOM_BY_TYPE	1376118	14.0813455582
Spanish	RANDOM_BY_TYPE	2582238	14.1079235077
Spanish	RANDOM_BY_TYPE	2611804	13.9963731766
Spanish	RANDOM_BY_TYPE	2709352	14.0066776276
Spanish	RANDOM_BY_TYPE	309387	14.2609996796
Spanish	RANDOM_BY_TYPE	4360451	14.2562570572
Spanish	RANDOM_BY_TYPE	5022739	14.200258255
Spanish	RANDOM_BY_TYPE	5182602	14.073102951
Spanish	RANDOM_BY_TYPE	5588720	14.0245456696
Spanish	RANDOM_BY_TYPE	6226917	14.1063232422
Spanish	RANDOM_BY_TYPE	6977450	14.1508178711
Spanish	RANDOM_BY_TYPE	7688500	14.1491441727
Spanish	RANDOM_BY_TYPE	8865255	13.9134454727
Spanish	RANDOM_BY_TYPE	8997877	14.0174770355
Spanish	GROUND	2089876	13.6884326935
Spanish	GROUND	2841461	13.7198066711
Spanish	GROUND	3360520	13.6930770874
Spanish	GROUND	578419	13.6878070831
Spanish	GROUND	6423000	13.6814250946
Spanish	GROUND	6435336	13.6856937408
Spanish	GROUND	6722784	13.7019958496
Spanish	GROUND	8095196	13.6897678375
Spanish	GROUND	8615190	13.7085180283
Spanish	GROUND	8673211	13.6949243546
Basque	REAL_REAL	3381861	4.78165388107
Basque	REAL_REAL	3844178	4.78380632401
Basque	REAL_REAL	4013736	4.78366374969
Basque	REAL_REAL	6131368	4.78745222092
Basque	REAL_REAL	6920468	4.78601121902
Basque	REAL_REAL	868372	4.78435230255
Basque	REAL_REAL	8724255	4.785841465
Basque	REAL_REAL	8845932	4.78344488144
Basque	REAL_REAL	9090969	4.78544187546
Basque	REAL_REAL	9563328	4.78413248062
Basque	RANDOM_BY_TYPE	1484676	4.83358430862
Basque	RANDOM_BY_TYPE	2691260	4.82062911987
Basque	RANDOM_BY_TYPE	3493309	4.80001354218
Basque	RANDOM_BY_TYPE	5680182	4.82061433792
Basque	RANDOM_BY_TYPE	5809623	4.82374000549
Basque	RANDOM_BY_TYPE	5820858	4.82222652435
Basque	RANDOM_BY_TYPE	5827773	4.86401796341
Basque	RANDOM_BY_TYPE	6116962	4.8050532341
Basque	RANDOM_BY_TYPE	6416578	4.83067369461
Basque	RANDOM_BY_TYPE	775718	4.82755374908
Basque	RANDOM_BY_TYPE	7846130	4.82908535004
Basque	RANDOM_BY_TYPE	8092386	4.82035636902
Basque	RANDOM_BY_TYPE	9433434	4.79455900192
Basque	RANDOM_BY_TYPE	9611142	4.80356931686
Basque	RANDOM_BY_TYPE	9620783	4.80475997925
Basque	GROUND	2943081	4.77366399765
Basque	GROUND	4129560	4.7838640213
Basque	GROUND	4202174	4.77223730087
Basque	GROUND	4851156	4.7728767395
Basque	GROUND	5404587	4.77307128906
Basque	GROUND	6620167	4.77211856842
Basque	GROUND	7173823	4.77262306213
Basque	GROUND	7277377	4.77453422546
Basque	GROUND	8652387	4.77380752563
Basque	GROUND	959207	4.77570915222
Bulgarian	REAL_REAL	1064868	8.19934654236
Bulgarian	REAL_REAL	1116372	8.20111083984
Bulgarian	REAL_REAL	1931318	8.20023822784
Bulgarian	REAL_REAL	2270982	8.20742988586
Bulgarian	REAL_REAL	2393849	8.2017698288
Bulgarian	REAL_REAL	3964734	8.20613098145
Bulgarian	REAL_REAL	6740706	8.20397567749
Bulgarian	REAL_REAL	7561363	8.20268154144
Bulgarian	REAL_REAL	8090092	8.19805049896
Bulgarian	REAL_REAL	9741126	8.20457363129
Bulgarian	RANDOM_BY_TYPE	3528887	8.35154247284
Bulgarian	RANDOM_BY_TYPE	4358236	8.30348205566
Bulgarian	RANDOM_BY_TYPE	440418	8.42908668518
Bulgarian	RANDOM_BY_TYPE	5021741	8.34418106079
Bulgarian	RANDOM_BY_TYPE	5177169	8.38703250885
Bulgarian	RANDOM_BY_TYPE	6882276	8.37263870239
Bulgarian	RANDOM_BY_TYPE	6990641	8.38266658783
Bulgarian	RANDOM_BY_TYPE	7023898	8.34962463379
Bulgarian	RANDOM_BY_TYPE	8260771	8.3460521698
Bulgarian	RANDOM_BY_TYPE	8639268	8.3286819458
Bulgarian	RANDOM_BY_TYPE	9079001	8.3345823288
Bulgarian	RANDOM_BY_TYPE	9106805	8.31044864655
Bulgarian	RANDOM_BY_TYPE	9517962	8.3433265686
Bulgarian	RANDOM_BY_TYPE	9892049	8.39318370819
Bulgarian	GROUND	1054360	8.23368644714
Bulgarian	GROUND	3293487	8.22608375549
Bulgarian	GROUND	3797270	8.22926044464
Bulgarian	GROUND	6019870	8.22776412964
Bulgarian	GROUND	7077958	8.22856140137
Bulgarian	GROUND	7174065	8.23221302032
Bulgarian	GROUND	7442511	8.22604560852
Bulgarian	GROUND	8346650	8.23615837097
Bulgarian	GROUND	8931636	8.22565078735
Bulgarian	GROUND	9933013	8.23589992523
Croatian	REAL_REAL	2061251	8.93484592438
Croatian	REAL_REAL	2248171	8.90943336487
Croatian	REAL_REAL	2311034	8.91498661041
Croatian	REAL_REAL	2938827	8.92183113098
Croatian	REAL_REAL	3228685	8.93336391449
