Language	Type	Memory	MI
French	REAL_REAL	2.79915761948	1.8964497
French	REAL_REAL	2.79915761948	1.9228057
French	REAL_REAL	2.79915761948	1.9148862
French	REAL_REAL	2.79915761948	1.9211137
French	REAL_REAL	2.79915761948	1.9139986
French	REAL_REAL	2.79915761948	1.923353
French	REAL_REAL	2.79915761948	1.9228588
French	RANDOM_BY_TYPE	2.79915761948	1.4895306
French	RANDOM_BY_TYPE	2.79915761948	1.0550252
French	RANDOM_BY_TYPE	2.79915761948	1.5813026
French	RANDOM_BY_TYPE	2.79915761948	1.5538881
French	RANDOM_BY_TYPE	2.79915761948	1.4394821
French	RANDOM_BY_TYPE	2.79915761948	1.4999454
French	RANDOM_BY_TYPE	2.79915761948	1.4961202
French	RANDOM_BY_TYPE	2.79915761948	0.9365776
French	RANDOM_BY_TYPE	2.79915761948	1.2937478
French	RANDOM_BY_TYPE	2.79915761948	0.01298486
French	RANDOM_BY_TYPE	2.79915761948	1.4774646
French	RANDOM_BY_TYPE	2.79915761948	1.3716305
French	RANDOM_BY_TYPE	2.79915761948	1.0897267
French	RANDOM_BY_TYPE	2.79915761948	1.2488444
French	RANDOM_BY_TYPE	2.79915761948	1.5299128
French	RANDOM_BY_TYPE	2.79915761948	1.4498925
French	RANDOM_BY_TYPE	2.79915761948	0.61659586
French	RANDOM_BY_TYPE	2.79915761948	1.4617965
French	RANDOM_BY_TYPE	2.79915761948	1.6407914
French	RANDOM_BY_TYPE	2.79915761948	1.5667121
French	RANDOM_BY_TYPE	2.79915761948	1.5145462
French	RANDOM_BY_TYPE	2.79915761948	1.0276016
French	RANDOM_BY_TYPE	2.79915761948	1.0783714
French	RANDOM_BY_TYPE	2.79915761948	1.4877831
French	RANDOM_BY_TYPE	2.79915761948	0.8822446
French	RANDOM_BY_TYPE	2.79915761948	1.3192536
French	RANDOM_BY_TYPE	2.79915761948	1.5489889
French	RANDOM_BY_TYPE	2.79915761948	0.5568215
French	RANDOM_BY_TYPE	2.79915761948	1.5267332
French	RANDOM_BY_TYPE	2.79915761948	1.348999
French	RANDOM_BY_TYPE	2.79915761948	1.4239664
French	RANDOM_BY_TYPE	2.79915761948	1.4782743
French	RANDOM_BY_TYPE	2.79915761948	1.580137
French	RANDOM_BY_TYPE	2.79915761948	1.5810697
French	RANDOM_BY_TYPE	2.79915761948	1.5959328
French	RANDOM_BY_TYPE	2.79915761948	1.4588771
French	RANDOM_BY_TYPE	2.79915761948	1.6413713
French	RANDOM_BY_TYPE	2.79915761948	1.5848347
French	RANDOM_BY_TYPE	2.79915761948	1.5266564
French	RANDOM_BY_TYPE	2.79915761948	0.45256758
French	RANDOM_BY_TYPE	2.79915761948	0.9420374
French	RANDOM_BY_TYPE	2.79915761948	1.5546505
French	RANDOM_BY_TYPE	2.79915761948	1.6907538
French	RANDOM_BY_TYPE	2.79915761948	1.2602341
French	RANDOM_BY_TYPE	2.79915761948	1.1715991
French	RANDOM_BY_TYPE	2.79915761948	1.3662121
French	RANDOM_BY_TYPE	2.79915761948	1.428352
