Script	Model
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes.py	9760581
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_Heldout.py	1401297
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_Heldout.py	2134646
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_Heldout.py	2291324
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_Heldout.py	4209572
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_Heldout.py	4997156
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_Heldout.py	5639394
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_Heldout.py	596534
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_Heldout.py	6027760
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_Heldout.py	7820557
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_Heldout.py	8443776
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_Heldout.py	9354367
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_Heldout.py	9586262
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_HeldoutClip.py	1173856
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_HeldoutClip.py	4336949
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_HeldoutClip.py	4898486
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes.py	1953101
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes.py	2880106
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes.py	5923353
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes.py	6087526
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes.py	6747942
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes.py	8564866
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes.py	9788315
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_Heldout.py	1708779
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_Heldout.py	306715
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_Heldout.py	3165520
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_Heldout.py	3284169
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_Heldout.py	3608782
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_Heldout.py	3684057
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_Heldout.py	6839911
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_Heldout.py	6934264
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_Heldout.py	8601559
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_Heldout.py	9886844
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_HeldoutClip.py	2708426
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_HeldoutClip.py	3255959
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_HeldoutClip.py	3900753
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_HeldoutClip.py	5068993
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_HeldoutClip.py	5795568
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_HeldoutClip.py	7414695
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_HeldoutClip.py	8526072
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_HeldoutClip.py	991742
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_HeldoutClip_AllOptions.py	3533457
