Script	Type	Run	InterpPoint	Memory	MI
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	15	1.84963452816	1.84963452816
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	16	1.96523666382	1.96523654461
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	17	2.08083891869	2.08083891869
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	18	2.19644093513	2.19644093513
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	19	2.31204319	2.31204319
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	20	2.42764544487	2.42764544487
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	21	2.54324746132	2.54324746132
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	22	2.65884971619	2.65884971619
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	23	2.77445173264	2.77445173264
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	24	2.8900539875	2.8900539875
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	25	3.00565624237	3.00565624237
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	26	3.12125825882	3.12125825882
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	27	3.23686051369	3.19184136391
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	28	3.35246253014	3.24964237213
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	29	3.468064785	3.30744338036
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	30	3.58366703987	3.36524438858
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	31	3.69926905632	3.42304563522
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	32	3.81487131119	3.48084664345
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	33	3.93047332764	3.52135467529
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	34	4.04607582092	3.55988907814
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	35	4.16167783737	3.59725141525
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	36	4.27727985382	3.61188459396
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	37	4.39288187027	3.61188459396
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	38	4.50848436356	3.61188459396
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	0	0.11560215801	0.11560215801
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	1	0.23120431602	0.23120431602
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	2	0.346806466579	0.346806466579
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	3	0.46240863204	0.46240863204
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	4	0.578010797501	0.578010797501
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	5	0.693612933159	0.693612933159
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	6	0.809215128422	0.809215128422
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	7	0.92481726408	0.92481726408
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	8	1.04041945934	1.04041945934
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	9	1.156021595	1.156021595
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	10	1.27162373066	1.27162373066
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	11	1.38722586632	1.38722586632
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	12	1.50282812119	1.50282812119
