Script	Run	Model	Distance	Surprisal	MI	Memory
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	7386598	RANDOM	4	1.0822255105606524	0.09255505776050865	4.201821044356996
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	7386598	RANDOM	5	0.9896704528001438	0.038743410955642155	4.6645963331595395
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	7386598	RANDOM	6	0.9509270418445016	0.017005908053570606	4.897056798893392
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	7386598	RANDOM	7	0.933921133790931	0.009245821707345003	5.016098155268387
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	7386598	RANDOM	8	0.924675312083586	0.004831633836768323	5.090064728927147
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	7386598	RANDOM	9	0.9198436782468177	0.0018048619687364154	5.133549433458062
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	7386598	RANDOM	10	0.9180388162780813	0.0006231412605215425	5.151598053145426
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	4392318	RANDOM	0	5.613090635743616	2.8406847565360365	0
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	4392318	RANDOM	1	2.772405879207579	0.16148813234350445	2.8406847565360365
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	4392318	RANDOM	2	2.6109177468640747	0.04428582652313029	3.1636610212230454
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	4392318	RANDOM	3	2.5666319203409445	0.0026131085242697694	3.2965185007924362
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	4392318	RANDOM	4	2.5640188118166747	0.0001436404554695514	3.3069709348895153
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	4392318	RANDOM	5	2.563875171361205	0.0	3.307689137166863
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	4392318	RANDOM	6	2.563875171361205	0.0	3.307689137166863
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	4392318	RANDOM	7	2.563875171361205	0.0	3.307689137166863
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	4392318	RANDOM	8	2.563875171361205	0.0	3.307689137166863
