Script	Run	Model	Accuracy_Pairs	Accuracy_Full	Accuracy_Pairs_Types	Accuracy_Full_Types
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	7022411	RANDOM	0.2053883834849545	0.02706958154181554	0.2244085617724371	0.03587553386211104
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	7129866	RANDOM	0.21460228598087241	0.04360201053715255	0.23627487795719113	0.05832824893227578
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	7155771	RANDOM	0.2147189176580359	0.038939017743595955	0.23792714983101765	0.052104942037827943
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	7234893	RANDOM	0.9661768136225799	0.9503421546660207	0.9492301915133309	0.9233679072605248
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	724586	RANDOM	0.7838037477645595	0.6916974504935506	0.7583927900863687	0.6512507626601587
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	7335922	RANDOM	0.006920146178368712	0.006237509840731545	0.011415696582801352	0.010006101281269067
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	7386532	RANDOM	0.9417619158696835	0.929570641312905	0.9188884716485167	0.8978645515558267
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	7410512	RANDOM	0.5287691470336677	0.5479319324168836	0.47525347352609837	0.4641854789505796
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	7691613	RANDOM	0.8129227898297178	0.7180403318597469	0.7962448366503942	0.6856619890176937
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	7745699	RANDOM	0.21460228598087241	0.04178526009810452	0.238152459631994	0.057230018303843805
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	7937532	RANDOM	0.4602674753129617	0.1812511354690244	0.5070221554637627	0.23721781574130568
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	8020418	RANDOM	0.01605629422284426	0.016350753951432206	0.025159594442358244	0.024527150701647345
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	8188370	RANDOM	0.9757794883757095	0.9694785926239932	0.9615471273000376	0.9496034167175107
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	8242902	RANDOM	0.8190265142679418	0.7299703264094956	0.8041306796845663	0.7021354484441733
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	8375490	RANDOM	0.0567607495529119	0.04027130139889784	0.07758167480285393	0.05381330079316656
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	8388268	RANDOM	0.02437602052717518	0.01411009507660631	0.033571160345475026	0.01915802318486882
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	8471338	RANDOM	0.9394681595521344	0.9331435838430328	0.9158092377018401	0.9046979865771813
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	8513245	RANDOM	0.42601663945260865	0.16332586447041725	0.4636875704093128	0.21598535692495424
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	8650093	RANDOM	0.9324313816966021	0.9157027796281717	0.9060458129928652	0.8782184258694326
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	8733144	RANDOM	0.806002643651349	0.7068370374856174	0.7873075478783327	0.6704087858450275
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	8873816	RANDOM	0.43565819143145945	0.1719857082298795	0.478933533608712	0.23026235509456985
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	9005752	RANDOM	0.5255034600730892	0.536244171259008	0.4714983101764927	0.4473459426479561
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	9012772	RANDOM	0.9292434491874659	0.9177617634590929	0.9002628614344724	0.8802928615009152
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	9043265	RANDOM	0.4323536272451598	0.16072185550778176	0.4736012016522719	0.21171446003660768
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	9232048	RANDOM	0.45155897675141904	0.17210682492581603	0.5012392039053699	0.2305064063453325
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	925644	RANDOM	0.01395692403390094	0.002240658874825895	0.019376642883965452	0.0034167175106772424
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	933452	RANDOM	0.034250835860353004	0.02040816326530612	0.049943672549755916	0.02928615009151922
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	9475323	RANDOM	0.9767514190187389	0.9653000666141828	0.9659782200525723	0.9477730323367908
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	9569777	RANDOM	0.01119664100769769	0.011324411070066008	0.017348854675178372	0.01659548505186089
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	9608797	RANDOM	0.569862374620947	0.5931084600012112	0.5287269996244837	0.5243441122635754
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	9615928	RANDOM	0.18944872093927378	0.013504511596923636	0.20713481036425085	0.020134228187919462
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	9616648	RANDOM	0.023520721561309386	0.02161933022467147	0.035824258355238454	0.03062843197071385
