Language	Estimator	Model	Distance	Surprisal	Script
Czech	Heldout	DNA	4	6.259288705568719	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py
Czech	Heldout	DNA	5	6.401034116696849	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py
Czech	Heldout	DNA	6	6.5446107343112105	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py
Czech	Heldout	NAD	0	8.131571056885534	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	NAD	1	6.27636967321107	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	NAD	2	6.301945059008431	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	NAD	3	6.417025228005267	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	NAD	4	6.547150036497237	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	NAD	5	6.6821985528447945	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	NAD	6	6.81931719959306	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	DNA	0	8.131571056885534	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	DNA	1	6.2315858819807195	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	DNA	2	6.252560269931524	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	DNA	3	6.3574292891661095	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	DNA	4	6.476548398861361	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	DNA	5	6.600440862019687	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	DNA	6	6.726355451490826	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	AND	0	8.131571056885534	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	AND	1	6.285283501987647	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	AND	2	6.311274115934157	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	AND	3	6.427190368583025	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	AND	4	6.558207996683419	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	AND	5	6.694160673524738	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	AND	6	6.832189179751402	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	GROUND	0	8.131571056885534	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	GROUND	1	6.2292091762144794	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	GROUND	2	6.2502713426205085	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	GROUND	3	6.355164472205468	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	GROUND	4	6.474306129468067	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	GROUND	5	6.598223066085997	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	GROUND	6	6.724164071462542	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	ADN	0	8.131571056885534	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	ADN	1	6.285387584891221	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	ADN	2	6.311554733761738	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	ADN	3	6.427321592370112	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	ADN	4	6.55813840265863	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	ADN	5	6.693876967404591	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	ADN	6	6.831686176736314	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	DAN	0	8.131571056885534	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	DAN	1	6.240830342507386	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	DAN	2	6.262993712710763	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	DAN	3	6.36945511785728	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	DAN	4	6.490210784303711	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	DAN	5	6.615747580868862	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	DAN	6	6.743312734782853	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	NDA	0	8.131571056885534	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	NDA	1	6.231584532991823	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	NDA	2	6.252425420199191	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	NDA	3	6.357294194073108	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	NDA	4	6.476436658433144	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	NDA	5	6.600362745887755	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Heldout	NDA	6	6.726317162642695	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_2.py
Czech	Plugin	DNA	0	7.9421881687903175	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	DNA	1	3.6284364254793453	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	DNA	2	3.408587441038334	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	DNA	3	3.4066047350044113	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	DNA	4	3.4066013255253456	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	DNA	5	3.4066013255253456	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	DNA	6	3.4066013255253456	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	ADN	0	7.9421881687903175	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	ADN	1	3.657517276318338	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	ADN	2	3.4086001100263252	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	ADN	3	3.4066048928518518	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	ADN	4	3.4066014833727865	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	ADN	5	3.4066014833727865	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	ADN	6	3.4066014833727865	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	GROUND	0	7.9421881687903175	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	GROUND	1	3.6285745345711042	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	GROUND	2	3.408555385004534	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	GROUND	3	3.4066076809135972	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	GROUND	4	3.406604271434531	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	GROUND	5	3.406604271434531	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	GROUND	6	3.406604271434531	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	DAN	0	7.9421881687903175	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	DAN	1	3.632210952451645	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	DAN	2	3.4085516812162955	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	DAN	3	3.406605817379714	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	DAN	4	3.406602407900648	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
