Language	Estimator	Model	Distance	Surprisal	Script	Part
e	Heldout	DAN	0	-6.156792925218384	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case
e	Heldout	DAN	1	-3.517778590195194	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case
e	Heldout	DAN	2	-3.4371772775934955	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case
e	Heldout	DAN	3	-3.4308390851216553	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case
e	Heldout	DAN	4	-3.430973877354049	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case
e	Heldout	DAN	5	-3.4317007892970315	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case
e	Heldout	DAN	6	-3.4324836228985536	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case
e	Heldout	DAN	0	-9.005620887866696	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det
e	Heldout	DAN	1	-6.450943224126045	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det
e	Heldout	DAN	2	-6.336195774354636	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det
e	Heldout	DAN	3	-6.331029248240175	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det
e	Heldout	DAN	4	-6.348340205723448	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det
e	Heldout	DAN	5	-6.372860338922364	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det
e	Heldout	DAN	6	-6.400280467812776	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det
e	Heldout	DAN	0	-10.419032305190985	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod
e	Heldout	DAN	1	-8.767665651802941	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod
e	Heldout	DAN	2	-8.83387175133033	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod
e	Heldout	DAN	3	-8.994509938202699	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod
e	Heldout	DAN	4	-9.176869081010366	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod
e	Heldout	DAN	5	-9.366892326075899	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod
e	Heldout	DAN	6	-9.560174450315747	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod
e	Heldout	ADN	0	-2.6416252183116504	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS
e	Heldout	ADN	1	-0.37650160959584095	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS
e	Heldout	ADN	2	-0.36269045466917926	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS
e	Heldout	ADN	3	-0.3605897323296814	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS
e	Heldout	ADN	4	-0.3599306519823764	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS
e	Heldout	ADN	5	-0.35971970618620863	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS
e	Heldout	ADN	6	-0.3596809733716881	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS
e	Heldout	ADN	0	-11.677978303784094	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN
e	Heldout	ADN	1	-9.499661394706074	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN
e	Heldout	ADN	2	-9.49780835996023	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN
e	Heldout	ADN	3	-9.632984151714519	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN
e	Heldout	ADN	4	-9.796043921779349	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN
e	Heldout	ADN	5	-9.969374253175637	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN
e	Heldout	ADN	6	-10.147276679238178	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN
e	Heldout	ADN	0	-12.029963095413597	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod
e	Heldout	ADN	1	-10.944975303515742	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod
e	Heldout	ADN	2	-11.331359894419828	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod
e	Heldout	ADN	3	-11.781756692053653	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod
e	Heldout	ADN	4	-12.243626812020057	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod
e	Heldout	ADN	5	-12.708875592923745	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod
e	Heldout	ADN	6	-13.17544425679155	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod
e	Heldout	ADN	0	-6.156792925218384	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case
e	Heldout	ADN	1	-3.5175170766952486	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case
e	Heldout	ADN	2	-3.4339232371755646	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case
e	Heldout	ADN	3	-3.4270437688266626	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case
e	Heldout	ADN	4	-3.427091608983221	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case
e	Heldout	ADN	5	-3.427796764225602	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case
e	Heldout	ADN	6	-3.428566122717602	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case
e	Heldout	ADN	0	-9.005620887866696	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det
e	Heldout	ADN	1	-7.068225242208249	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det
e	Heldout	ADN	2	-6.996846233861981	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det
e	Heldout	ADN	3	-7.02107089442387	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det
e	Heldout	ADN	4	-7.06554588103471	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det
e	Heldout	ADN	5	-7.116783457915086	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det
e	Heldout	ADN	6	-7.170844501611788	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det
e	Heldout	ADN	0	-10.419032305190985	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod
e	Heldout	ADN	1	-8.759197193221961	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod
e	Heldout	ADN	2	-8.820156508174183	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod
e	Heldout	ADN	3	-8.97738853466098	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod
e	Heldout	ADN	4	-9.156790728347948	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod
e	Heldout	ADN	5	-9.344048481352138	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod
e	Heldout	ADN	6	-9.534665181020001	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod
e	Heldout	GROUND	0	-2.6416252183116504	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS
e	Heldout	GROUND	1	-0.37651048176506885	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS
e	Heldout	GROUND	2	-0.36269488122753457	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS
e	Heldout	GROUND	3	-0.36059083430172856	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS
e	Heldout	GROUND	4	-0.35993133465576654	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS
e	Heldout	GROUND	5	-0.3597203898151554	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS
e	Heldout	GROUND	6	-0.3596817031128594	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS
e	Heldout	GROUND	0	-11.677978303784094	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN
e	Heldout	GROUND	1	-9.493063338372336	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN
e	Heldout	GROUND	2	-9.49502083393831	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN
e	Heldout	GROUND	3	-9.63076737663114	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN
e	Heldout	GROUND	4	-9.793987653222828	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN
e	Heldout	GROUND	5	-9.967358826396579	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN
e	Heldout	GROUND	6	-10.145267595390196	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN
e	Heldout	GROUND	0	-12.029963095413597	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod
e	Heldout	GROUND	1	-11.041057622759332	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod
e	Heldout	GROUND	2	-11.434917937458307	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod
e	Heldout	GROUND	3	-11.888756510297144	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod
e	Heldout	GROUND	4	-12.353463844577618	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod
e	Heldout	GROUND	5	-12.821438048370641	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod
e	Heldout	GROUND	6	-13.29071037572217	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod
e	Heldout	GROUND	0	-6.156792925218384	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case
e	Heldout	GROUND	1	-3.517906964682517	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case
