Model	Language	Command	Loss	Accuracy	AccuracyLabeled	Duration
RANDOM_MODEL	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_MODEL 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 9057969 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Exponents.py_model_9057969_RANDOM_MODEL.txt	0.734231760026	0.851015096304	0.810307131702	9
RANDOM_BY_TYPE	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_BY_TYPE 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 7195849 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py_model_7195849_RANDOM_BY_TYPE.txt	0.663312764595	0.854815200416	0.817230609058	9
RANDOM_BY_TYPE	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_BY_TYPE 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 8620376 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py_model_8620376_RANDOM_BY_TYPE.txt	0.599630115229	0.866527850078	0.836074960958	9
RANDOM_BY_TYPE	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_BY_TYPE 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 8008717 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py_model_8008717_RANDOM_BY_TYPE.txt	0.636873859164	0.867048412285	0.826756897449	9
RANDOM_BY_TYPE	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_BY_TYPE 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 1175886 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py_model_1175886_RANDOM_BY_TYPE.txt	0.621133183412	0.874596564289	0.835346173868	8
RANDOM_BY_TYPE	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_BY_TYPE 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 290276 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py_model_290276_RANDOM_BY_TYPE.txt	0.652387947939	0.856949505466	0.815408641333	8
RANDOM_BY_TYPE	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_BY_TYPE 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 6100814 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py_model_6100814_RANDOM_BY_TYPE.txt	0.657649102657	0.856689224362	0.819260801666	10
RANDOM_BY_TYPE	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_BY_TYPE 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 9813008 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Exponents.py_model_9813008_RANDOM_BY_TYPE.txt	0.608458824858	0.861478396668	0.827485684539	8
RANDOM_BY_TYPE	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_BY_TYPE 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 9608611 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py_model_9608611_RANDOM_BY_TYPE.txt	0.542245177294	0.888339406559	0.852264445601	8
RANDOM_BY_TYPE	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_BY_TYPE 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 4861595 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py_model_4861595_RANDOM_BY_TYPE.txt	0.610243990017	0.85799062988	0.830765226445	8
